company_id,company_name,peer_status,health_score
COALINDIA,Coal India Ltd,Sector Leader,56.74
BEL,Bharat Electronics Ltd,Sector Leader,53.41
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Sector Leader,51.79
INDIGO,Interglobe Aviation Ltd,Sector Leader,51.36
HINDUNILVR,"Hindustan Unilever Ltd
",Sector Leader,49.94
TCS,Tata Consultancy Services Ltd,Sector Leader,48.23
CIPLA,"Cipla Ltd
",Sector Leader,47.95
RELIANCE,"Reliance Industries Ltd
",Sector Leader,47.88
BHARTIARTL,Bharti Airtel Ltd,Sector Leader,47.25
DLF,DLF Ltd,Sector Leader,46.62
